Name	Category	Ward
Hospital 1	Hospital	1
Hospital 2	Hospital	2
Hospital 3	Hospital	3
Hospital 4	Hospital	4
Hospital 5	Hospital	5
Hospital 6	Hospital	6
Hospital 7	Hospital	7
Hospital 8	Hospital	8
Hospital 9	Hospital	9
Hospital 10	Hospital	10
Hospital 11	Hospital	11
Hospital 12	Hospital	12
Hospital 13	Hospital	13
Hospital 14	Hospital	14
Hospital 15	Hospital	15
Hospital 16	Hospital	16
Hospital 17	Hospital	17
Hospital 18	Hospital	18
Hospital 19	Hospital	19
Hospital 20	Hospital	20
Hospital 21	Hospital	21
Hospital 22	Hospital	22
Hospital 23	Hospital	23
Hospital 24	Hospital	24
Hospital 25	Hospital	25
Clinic 1	Clinic	1
Clinic 2	Clinic	1
Clinic 3	Clinic	2
Clinic 4	Clinic	2
Clinic 5	Clinic	3
Clinic 6	Clinic	3
Clinic 7	Clinic	4
Clinic 8	Clinic	4
Clinic 9	Clinic	5
Clinic 10	Clinic	5
Clinic 11	Clinic	6
Clinic 12	Clinic	6
Clinic 13	Clinic	7
Clinic 14	Clinic	7
Clinic 15	Clinic	8
Clinic 16	Clinic	8
Clinic 17	Clinic	9
Clinic 18	Clinic	9
Clinic 19	Clinic	10
Clinic 20	Clinic	10
Clinic 21	Clinic	11
Clinic 22	Clinic	11
Clinic 23	Clinic	12
Clinic 24	Clinic	12
Clinic 25	Clinic	13
Clinic 26	Clinic	13
Clinic 27	Clinic	14
Clinic 28	Clinic	14
Clinic 29	Clinic	15
Clinic 30	Clinic	15
Clinic 31	Clinic	16
Clinic 32	Clinic	16
Clinic 33	Clinic	17
Clinic 34	Clinic	17
Clinic 35	Clinic	18
Clinic 36	Clinic	18
Clinic 37	Clinic	19
Clinic 38	Clinic	19
Clinic 39	Clinic	20
Clinic 40	Clinic	20
Clinic 41	Clinic	21
Clinic 42	Clinic	21
Clinic 43	Clinic	22
Clinic 44	Clinic	22
Clinic 45	Clinic	23
Clinic 46	Clinic	23
Clinic 47	Clinic	24
Clinic 48	Clinic	24
Clinic 49	Clinic	25
Clinic 50	Clinic	25
